Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.0,MAE,13,4
GRU,2.6153846153846154,MAE,13,4
LSTM,3.076923076923077,MAE,13,4
Transformer,3.3076923076923075,MAE,13,4
