,VMD_Optuna_TCN,GRU,Transformer,LSTM
VMD_Optuna_TCN,1.0,0.012727687718477765,0.00023988486975690115,1.4776656504178476e-05
GRU,0.012727687718477765,1.0,0.7118693898634223,0.33908975472229475
Transformer,0.00023988486975690115,0.7118693898634223,1.0,0.9296906000179025
LSTM,1.4776656504178476e-05,0.33908975472229475,0.9296906000179025,1.0
