Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.0,MAPE,13,4
GRU,2.769230769230769,MAPE,13,4
LSTM,2.923076923076923,MAPE,13,4
Transformer,3.3076923076923075,MAPE,13,4
