,VMD_Optuna_TCN,GRU,LSTM,Transformer
VMD_Optuna_TCN,1.0,0.0026809539340130195,0.0008408322861699347,3.070203975674701e-05
GRU,0.0026809539340130195,1.0,0.990268390928735,0.711869389863423
LSTM,0.0008408322861699347,0.990268390928735,1.0,0.8725887795786473
Transformer,3.070203975674701e-05,0.711869389863423,0.8725887795786473,1.0
