Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.4615384615384615,MAPE,13,4
GRU,2.3076923076923075,MAPE,13,4
Transformer,2.923076923076923,MAPE,13,4
LSTM,3.3076923076923075,MAPE,13,4
