,VMD_Optuna_TCN,GRU,Transformer,LSTM
VMD_Optuna_TCN,1.0,0.4259379158178762,0.012727687718477654,0.0015194490332911537
GRU,0.4259379158178762,1.0,0.42593791581787643,0.14458087171010248
Transformer,0.012727687718477654,0.42593791581787643,1.0,0.9296906000179025
LSTM,0.0015194490332911537,0.14458087171010248,0.9296906000179025,1.0
