Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.4615384615384615,MAE,13,4
GRU,2.230769230769231,MAE,13,4
Transformer,3.0,MAE,13,4
LSTM,3.3076923076923075,MAE,13,4
