,VMD_Optuna_TCN,GRU,Transformer,LSTM
VMD_Optuna_TCN,1.0,0.33908975472229486,0.020356201687821374,0.0015194490332911537
GRU,0.33908975472229486,1.0,0.6170946488348148,0.1974977714588727
Transformer,0.020356201687821374,0.6170946488348148,1.0,0.8725887795786473
LSTM,0.0015194490332911537,0.1974977714588727,0.8725887795786473,1.0
