Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.4615384615384615,SMAPE,13,4
GRU,2.1538461538461537,SMAPE,13,4
Transformer,3.0,SMAPE,13,4
LSTM,3.3846153846153846,SMAPE,13,4
