,VMD_Optuna_TCN,GRU,Transformer,LSTM
VMD_Optuna_TCN,1.0,0.10299639647978165,0.0015194490332911537,1.4776656504178476e-05
GRU,0.10299639647978165,1.0,0.5200311808872128,0.07142761122807983
Transformer,0.0015194490332911537,0.5200311808872128,1.0,0.711869389863423
LSTM,1.4776656504178476e-05,0.07142761122807983,0.711869389863423,1.0
