Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_Optuna_TCN,1.1538461538461537,RMSE,13,4
GRU,2.3076923076923075,RMSE,13,4
Transformer,3.0,RMSE,13,4
LSTM,3.5384615384615383,RMSE,13,4
