Model,Dataset,Building,Abs_Error
VMD_Optuna_TCN,cross,Hog,1.4306527909934488
VMD_Optuna_TCN,cross,Hog,1.019990766525268
VMD_Optuna_TCN,cross,Hog,1.767444004535676
VMD_Optuna_TCN,cross,Hog,1.542197664976122
VMD_Optuna_TCN,cross,Hog,1.7042600111961335
VMD_Optuna_TCN,cross,Hog,1.5696150884628324
VMD_Optuna_TCN,cross,Hog,1.1661933147907249
VMD_Optuna_TCN,cross,Hog,0.9778650876581665
VMD_Optuna_TCN,cross,Hog,1.291229701548815
VMD_Optuna_TCN,cross,Hog,0.999296745464207
VMD_Optuna_TCN,cross,Hog,1.1435813579559309
VMD_Optuna_TCN,cross,Hog,0.7340978574156694
VMD_Optuna_TCN,cross,Hog,1.143782785058022
VMD_Optuna_TCN,cross,Hog,1.2627784010171865
VMD_Optuna_TCN,cross,Hog,1.0120801579738057
VMD_Optuna_TCN,cross,Hog,0.6674186719655992
VMD_Optuna_TCN,cross,Hog,1.053340326458219
VMD_Optuna_TCN,cross,Hog,0.8025199506208267
VMD_Optuna_TCN,cross,Hog,1.5542809679508238
VMD_Optuna_TCN,cross,Hog,0.7251059752106599
VMD_Optuna_TCN,cross,Hog,1.326738359219398
VMD_Optuna_TCN,cross,Hog,1.1472185695767436
VMD_Optuna_TCN,cross,Hog,1.2274006144702412
VMD_Optuna_TCN,cross,Hog,1.7130312044769553
VMD_Optuna_TCN,cross,Hog,0.3912071637213259
VMD_Optuna_TCN,cross,Hog,0.622284378349768
VMD_Optuna_TCN,cross,Hog,2.8464446315765386
VMD_Optuna_TCN,cross,Hog,2.5520029257908448
VMD_Optuna_TCN,cross,Hog,2.6158933093398815
VMD_Optuna_TCN,cross,Hog,1.5545000857710818
VMD_Optuna_TCN,cross,Hog,1.164881504952909
VMD_Optuna_TCN,cross,Hog,2.1634145585894586
VMD_Optuna_TCN,cross,Hog,2.4239305402487545
VMD_Optuna_TCN,cross,Hog,1.7167558048926281
VMD_Optuna_TCN,cross,Hog,2.582910846829421
VMD_Optuna_TCN,cross,Hog,2.357843212544921
VMD_Optuna_TCN,cross,Hog,1.7366106563806554
VMD_Optuna_TCN,cross,Hog,1.4695655799645095
VMD_Optuna_TCN,cross,Hog,3.01509504848719
VMD_Optuna_TCN,cross,Hog,2.8172985739707954
VMD_Optuna_TCN,cross,Hog,3.041169116854668
VMD_Optuna_TCN,cross,Hog,2.444884330511094
VMD_Optuna_TCN,cross,Hog,2.5259125599563106
VMD_Optuna_TCN,cross,Hog,2.976152764677998
