,VMD_Optuna_TCN,GRU,Transformer,LSTM
VMD_Optuna_TCN,1.0,0.520031180887213,0.012727687718477654,0.0008408322861699347
GRU,0.520031180887213,1.0,0.33908975472229475,0.07142761122807983
Transformer,0.012727687718477654,0.33908975472229475,1.0,0.8725887795786473
LSTM,0.0008408322861699347,0.07142761122807983,0.8725887795786473,1.0
