Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points,Seed
LSTM,test,Wolf,13.50142906553605,403.44182371991366,20.085861288974233,6.232424269843113,5.99593704023291,0.9424667535366634,89.6668,0.0443,3264,42
LSTM,holdout,Wolf,14.43739924112956,461.9136396029033,21.492176241667647,7.175383296834993,6.851613633280183,0.9229093508976518,89.6668,0.0103,648,42
LSTM,test,Bull,1.4051011105236806,4.016464629457766,2.004111930371596,6.692187876484228,6.910785911449352,0.35430778374238747,89.6668,0.0439,3264,42
LSTM,holdout,Bull,1.4049495656679052,3.9847976449830886,1.9961957932485201,6.522820279255812,6.752831496894532,0.6706256521291184,89.6668,0.0096,648,42
LSTM,test,Robin,9.07529830254974,146.35974085261543,12.097922997465947,6.582219029893867,6.4383585668250305,0.9183392382350083,89.6668,0.0437,3264,42
LSTM,holdout,Robin,8.093170266472745,157.07123733714926,12.532806442977936,6.573535853919636,6.26550895646084,0.8853460927160901,89.6668,0.0089,648,42
LSTM,test,Fox,4.220844356218974,33.05865686412435,5.749665804559805,4.9488765026048345,4.845365752973411,0.8677643727316828,89.6668,0.0439,3264,42
LSTM,holdout,Fox,3.5033909983693814,26.809408431088066,5.177780260989072,5.243940080334158,4.912943506110417,0.7754567319071715,89.6668,0.0088,648,42
LSTM,test,Rat,6.519910188480919,79.77792834903713,8.931849100216434,17.621437534912378,17.906392350263957,0.8078656326110838,89.6668,0.0439,3264,42
LSTM,holdout,Rat,3.6557806153356296,23.55029025344,4.852864128887187,13.774246851323543,13.913933567674325,0.7779173271399176,89.6668,0.0089,648,42
LSTM,test,Eagle,3.262787687129601,17.749789690040938,4.213049927314052,9.199758986448376,9.39326761515547,0.5802947441308695,89.6668,0.0443,3264,42
LSTM,holdout,Eagle,1.5751679063575281,6.760464707679671,2.600089365325675,4.546887979615017,4.619956884430927,0.5842190337547157,89.6668,0.0087,648,42
LSTM,cross,Hog,1.9629145313118272,6.898910535394414,2.6265777230827214,2.931594381663527,2.936221199646906,0.7976644393610712,89.6668,0.0513,4008,42
Transformer,test,Wolf,13.559832496269077,352.6589864616864,18.779216875623074,6.143686264784019,5.898357115982429,0.9497086935644615,128.9694,0.0515,3264,42
Transformer,holdout,Wolf,12.839820645650226,312.27895686049385,17.671416379580158,6.0889520463774165,6.005990351354258,0.9478824926969567,128.9694,0.0103,648,42
Transformer,test,Bull,1.1771159077915552,3.256892198274918,1.804686177227198,6.07159957927582,5.764505768720409,0.4764176618928265,128.9694,0.0509,3264,42
Transformer,holdout,Bull,1.3816713409543875,3.7078862478182484,1.9255872475217135,7.040955244438613,6.685828883249393,0.6935145210216243,128.9694,0.01,648,42
Transformer,test,Robin,8.273128051735107,114.19024870509074,10.68598374999189,6.328469271583524,6.094867650641282,0.9362880622699262,128.9694,0.0506,3264,42
Transformer,holdout,Robin,8.625445245275698,133.8109770534146,11.567669473727825,7.077275249466997,6.59075451703869,0.9023248838123016,128.9694,0.0101,648,42
Transformer,test,Fox,4.632918871945026,36.508863392851055,6.0422564818824975,5.579868299296287,5.363133931912312,0.8539634422702116,128.9694,0.0505,3264,42
Transformer,holdout,Fox,4.138763457168768,31.808846274429566,5.639933179961405,6.31694703121534,5.824829003395274,0.7335837411302055,128.9694,0.0101,648,42
Transformer,test,Rat,5.01416760561513,54.496956547084096,7.382205398597637,14.182717017974685,12.932419133635223,0.8687514393080673,128.9694,0.0507,3264,42
Transformer,holdout,Rat,2.8618452083328623,17.629084656998728,4.198700353323481,10.83924709329739,9.922462484612723,0.8337551597636439,128.9694,0.0101,648,42
Transformer,test,Eagle,3.319104938335045,17.295634155127445,4.158802009608951,9.982589792796254,9.575186062162071,0.5910335454526787,128.9694,0.0508,3264,42
Transformer,holdout,Eagle,1.8441949182347381,7.078017428010096,2.6604543649553727,5.601808370498376,5.418765042654853,0.5646889596249272,128.9694,0.01,648,42
Transformer,cross,Hog,2.724290894201891,9.821742722076335,3.1339659733437335,4.206657128116067,4.098241612192718,0.7119417899497344,128.9694,0.0596,4008,42
TCN,test,Wolf,19.90520102070827,597.7044084187681,24.4479939548988,7.998462792432185,8.263625921191817,0.9147637329102168,757.3997,1.0941,3264,42
TCN,holdout,Wolf,20.363540490232868,681.4722146589311,26.10502278602589,9.506791807266255,9.604809374365567,0.8862663258473271,757.3997,0.2059,648,42
TCN,test,Bull,4.766670542604783,26.40345715246522,5.138429444145869,24.582798002407806,21.415076307561765,-3.2446550233755636,757.3997,1.0513,3264,42
TCN,holdout,Bull,5.03156273453324,29.49434808802264,5.4308699200056925,26.164761771424637,22.60623520654749,-1.4379360090217252,757.3997,0.2044,648,42
TCN,test,Robin,9.143792622557585,138.43818983984394,11.765975940815277,6.464553954923826,6.5625233297514125,0.9227590321366289,757.3997,1.0504,3264,42
TCN,holdout,Robin,10.48656516620709,207.3062704133587,14.398134268486272,8.412631779207405,7.8616430528420755,0.8486771078505736,757.3997,0.2054,648,42
TCN,test,Fox,4.472759724878797,36.53349017143771,6.044294017620065,5.224198999139132,5.143557164920731,0.8538649344110633,757.3997,1.0477,3264,42
TCN,holdout,Fox,3.511560259924995,27.1904587307539,5.214447116497961,5.2683543494378275,4.932275097782973,0.7722652299456624,757.3997,0.2046,648,42
TCN,test,Rat,7.701555214489207,95.57377281625095,9.776183959820465,25.36549757413354,21.237398155857562,0.769823474248639,757.3997,1.0487,3264,42
TCN,holdout,Rat,6.017629269258475,50.30750063407299,7.092778061808573,25.933608410461638,21.847459597691625,0.5255929296203362,757.3997,0.207,648,42
TCN,test,Eagle,4.404604840028052,27.64526266118449,5.257876250082774,13.80733309771105,12.710856648266455,0.34630988640435,757.3997,1.0551,3264,42
TCN,holdout,Eagle,4.348469076999617,21.698908774427398,4.6582087517013875,13.570212433403395,12.65861642378829,-0.3345226470084235,757.3997,0.2047,648,42
TCN,cross,Hog,2.056201277308359,7.990664846820082,2.8267764055227436,3.078616269002351,3.0457055946218072,0.765644786468203,757.3997,1.2923,4008,42
VMD_TCN,test,Wolf,12.049034751125358,247.5544784912623,15.733864067394961,5.40366951704209,5.2896650613456195,0.9646972326943763,4534.6052,6.2542,3264,42
VMD_TCN,holdout,Wolf,12.030659305534238,245.27637134630453,15.661301713021958,5.836113137844902,5.68908485165945,0.959064827155114,4534.6052,1.212,648,42
VMD_TCN,test,Bull,0.4589787777196132,0.6906579722151186,0.8310583446516367,2.2742435821499387,2.257301948833808,0.8889689022816633,4534.6052,6.2614,3264,42
VMD_TCN,holdout,Bull,0.5939468688762528,0.7784902503085047,0.8823209451829332,2.8659611680436172,2.8461440308825092,0.9356517591697454,4534.6052,1.2127,648,42
VMD_TCN,test,Robin,4.406878589790365,34.43548232492682,5.868175382938619,3.490090990727585,3.4454631948157575,0.9807868768964947,4534.6052,6.2675,3264,42
VMD_TCN,holdout,Robin,5.4150674621896915,68.03093056295234,8.248086478872075,4.187429507022588,4.058702603390247,0.9503409272287049,4534.6052,1.2104,648,42
VMD_TCN,test,Fox,2.1778788786353136,8.435916640890593,2.9044649491585526,2.5774929870133865,2.5592235888731927,0.9662560783041979,4534.6052,6.2621,3264,42
VMD_TCN,holdout,Fox,1.9881524322551016,7.807310459302219,2.7941564843977904,3.0148999893890878,2.8880918092064776,0.9346095602947292,4534.6052,1.2106,648,42
VMD_TCN,test,Rat,3.527695488898244,23.3249962904119,4.82959587236985,9.871158172293272,9.720084559791362,0.9438248961918401,4534.6052,6.2533,3264,42
VMD_TCN,holdout,Rat,2.0245279200190827,7.255319446933532,2.6935700189402043,8.193253795765992,8.022480860256337,0.9315812791312255,4534.6052,1.2123,648,42
VMD_TCN,test,Eagle,1.6397686852722944,4.361223334898788,2.0883542168173452,4.751408448092823,4.76080101523845,0.8968760538778024,4534.6052,6.2594,3264,42
VMD_TCN,holdout,Eagle,0.7516107909571457,1.7897758791984972,1.3378250555280005,2.178884398056828,2.193769438307656,0.8899255041490981,4534.6052,1.2125,648,42
VMD_TCN,cross,Hog,0.6979009766801367,0.8058538022552866,0.8976936015452525,1.0510286165414389,1.0512343009924996,0.9763654159543302,4534.6052,7.6805,4008,42
