Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Best_Optuna_LR
Transformer,6,0.03855031875503538,0.033772914782055234,0.033547230564302574,0,
Transformer,7,0.03733431469381156,0.03314536577766068,0.03314536577766068,1,
Transformer,8,0.03643291274898788,0.034712098368821796,0.03314536577766068,0,
Transformer,9,0.03555421093653715,0.03314133189398471,0.03314133189398471,1,
Transformer,10,0.03489911055194058,0.03500087366959099,0.03314133189398471,0,
Transformer,11,0.03429514821789446,0.03156789921783547,0.03156789921783547,1,
Transformer,12,0.03366311983023209,0.032574103578389545,0.03156789921783547,0,
Transformer,13,0.03320704626864009,0.031956961639495664,0.03156789921783547,0,
Transformer,14,0.03285980194212337,0.03299972478541905,0.03156789921783547,0,
Transformer,15,0.03244131485890193,0.03160288892034759,0.03156789921783547,0,
Transformer,16,0.032039384751192855,0.03153494752088479,0.03153494752088479,1,
Transformer,17,0.03179060878143383,0.032255839118209534,0.03153494752088479,0,
Transformer,18,0.03135026314249326,0.03143917893118355,0.03143917893118355,1,
Transformer,19,0.031010964045115923,0.03174059373408448,0.03143917893118355,0,
Transformer,20,0.03066258697522667,0.03307720837095886,0.03143917893118355,0,
Transformer,21,0.03047308293941285,0.0334957675138606,0.03143917893118355,0,
Transformer,22,0.03011997707701786,0.03377378714801712,0.03143917893118355,0,
Transformer,23,0.0298555842127209,0.031552426060983504,0.03143917893118355,0,
Transformer,24,0.02951417114833934,0.031615382811049024,0.03143917893118355,0,
Transformer,25,0.029156948968365386,0.030922071394687774,0.030922071394687774,1,
VMD_Optuna_TCN,1,0.46000890675674755,0.31076257062045454,0.31076257062045454,1,0.0008976741611506131
VMD_Optuna_TCN,2,0.40586613712556,0.30272665029623813,0.30272665029623813,1,0.0008976741611506131
VMD_Optuna_TCN,3,0.394759414404815,0.29419253370959836,0.29419253370959836,1,0.0008976741611506131
VMD_Optuna_TCN,4,0.38809477885169746,0.2951993659959219,0.29419253370959836,0,0.0008976741611506131
VMD_Optuna_TCN,5,0.3838680920923467,0.2913177064932696,0.2913177064932696,1,0.0008976741611506131
VMD_Optuna_TCN,6,0.3812777676695748,0.29323980439198294,0.2913177064932696,0,0.0008976741611506131
VMD_Optuna_TCN,7,0.37912515469331765,0.28806943752364017,0.28806943752364017,1,0.0008976741611506131
VMD_Optuna_TCN,8,0.37725755806810085,0.2938927782999416,0.28806943752364017,0,0.0008976741611506131
VMD_Optuna_TCN,9,0.3767442135200743,0.2870033380126779,0.2870033380126779,1,0.0008976741611506131
VMD_Optuna_TCN,10,0.3751815749538384,0.2934712003357616,0.2870033380126779,0,0.0008976741611506131
VMD_Optuna_TCN,11,0.3735277275211021,0.2923018593630759,0.2870033380126779,0,0.0008976741611506131
VMD_Optuna_TCN,12,0.37366852586033816,0.2871297680244168,0.2870033380126779,0,0.0008976741611506131
VMD_Optuna_TCN,13,0.37198229961059126,0.2898556300997562,0.2870033380126779,0,0.0008976741611506131
VMD_Optuna_TCN,14,0.37185536711472833,0.2867163993996252,0.2867163993996252,1,0.0008976741611506131
VMD_Optuna_TCN,15,0.3711836840202219,0.28668719786013896,0.28668719786013896,1,0.0008976741611506131
VMD_Optuna_TCN,16,0.37111185922464396,0.28873453603520544,0.28668719786013896,0,0.0008976741611506131
VMD_Optuna_TCN,17,0.3708621600984553,0.28606199927546677,0.28606199927546677,1,0.0008976741611506131
VMD_Optuna_TCN,18,0.37079616781272096,0.29017008778245035,0.28606199927546677,0,0.0008976741611506131
VMD_Optuna_TCN,19,0.37077645041236823,0.2897113815935776,0.28606199927546677,0,0.0008976741611506131
VMD_Optuna_TCN,20,0.36959902050409227,0.28676892998322207,0.28606199927546677,0,0.0008976741611506131
VMD_Optuna_TCN,21,0.37009641141520844,0.2864627276800889,0.28606199927546677,0,0.0008976741611506131
VMD_Optuna_TCN,22,0.3697939184761333,0.2853865476516507,0.2853865476516507,1,0.0008976741611506131
VMD_Optuna_TCN,23,0.3689251840421787,0.2935680607704824,0.2853865476516507,0,0.0008976741611506131
VMD_Optuna_TCN,24,0.3689893706153939,0.2859319306830661,0.2853865476516507,0,0.0008976741611506131
VMD_Optuna_TCN,25,0.3678473877934788,0.28921859165979313,0.2853865476516507,0,0.0008976741611506131
