Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points
Transformer,holdout,Bull,1.3816713409543875,3.7078862478182484,1.9255872475217135,7.040955244438613,6.685828883249393,0.6935145210216243,125.263,0.0113,648
Transformer,test,Robin,8.273128051735107,114.19024870509074,10.68598374999189,6.328469271583524,6.094867650641282,0.9362880622699262,125.263,0.0567,3264
Transformer,holdout,Robin,8.625445245275698,133.8109770534146,11.567669473727825,7.077275249466997,6.59075451703869,0.9023248838123016,125.263,0.0115,648
Transformer,test,Fox,4.632918871945026,36.508863392851055,6.0422564818824975,5.579868299296287,5.363133931912312,0.8539634422702116,125.263,0.0574,3264
Transformer,holdout,Fox,4.138763457168768,31.808846274429566,5.639933179961405,6.31694703121534,5.824829003395274,0.7335837411302055,125.263,0.0117,648
Transformer,test,Rat,5.01416760561513,54.496956547084096,7.382205398597637,14.182717017974685,12.932419133635223,0.8687514393080673,125.263,0.0565,3264
Transformer,holdout,Rat,2.8618452083328623,17.629084656998728,4.198700353323481,10.83924709329739,9.922462484612723,0.8337551597636439,125.263,0.0114,648
Transformer,test,Eagle,3.319104938335045,17.295634155127445,4.158802009608951,9.982589792796254,9.575186062162071,0.5910335454526787,125.263,0.0572,3264
Transformer,holdout,Eagle,1.8441949182347381,7.078017428010096,2.6604543649553727,5.601808370498376,5.418765042654853,0.5646889596249272,125.263,0.0114,648
Transformer,cross,Hog,2.724290894201891,9.821742722076335,3.1339659733437335,4.206657128116067,4.098241612192718,0.7119417899497344,125.263,0.0661,4008
VMD_Optuna_TCN,test,Wolf,9.298741551665687,132.2852287876179,11.501531584429003,4.265474135509066,4.162030678331423,0.979394217779551,4160.5419,5.5035,3264
VMD_Optuna_TCN,holdout,Wolf,7.967211018872233,98.30758573792764,9.91501819150765,3.981819024517651,3.8782868161393353,0.9821399543737117,4160.5419,1.0835,648
VMD_Optuna_TCN,test,Bull,0.3667833600819315,0.2824137662679746,0.5314261625738561,1.8385864707239699,1.82111128894331,0.9355314354642191,4160.5419,5.5007,3264
VMD_Optuna_TCN,holdout,Bull,0.5085097014189682,0.43750558824010033,0.6614420520651074,2.4797474169458,2.4598807156002764,0.9565584370591166,4160.5419,1.0858,648
VMD_Optuna_TCN,test,Robin,5.414837674943716,45.816492245461326,6.768788092817009,4.28445540283541,4.156048225726903,0.9721185717938097,4160.5419,5.5241,3264
VMD_Optuna_TCN,holdout,Robin,4.67157410877701,37.83426607753674,6.150956517285482,3.850678620882405,3.7360730367838797,0.9695167778459821,4160.5419,1.0906,648
VMD_Optuna_TCN,test,Fox,1.9215555719609578,5.473062943286579,2.3394578310554306,2.37128819913116,2.3470944065763044,0.9765410458303624,4160.5419,5.5312,3264
VMD_Optuna_TCN,holdout,Fox,2.0005942475208145,5.840709090533288,2.4167559021409852,2.9493619750184523,2.8894771137557584,0.9449505516804692,4160.5419,1.0833,648
VMD_Optuna_TCN,test,Rat,2.1963192620704404,8.4438314981208,2.905827162465242,6.128437042138784,5.941536334379816,0.9770136588622417,4160.5419,5.5147,3264
VMD_Optuna_TCN,holdout,Rat,1.9783508901779854,6.5862766180222545,2.5663742162869108,7.677465451710283,7.233613788330589,0.9304904975932496,4160.5419,1.0844,648
VMD_Optuna_TCN,test,Eagle,0.9637124005503886,1.4931642553168385,1.221951003648198,2.7796499064687885,2.764761703341544,0.9527362938893191,4160.5419,5.5103,3264
VMD_Optuna_TCN,holdout,Eagle,0.49550174304603367,0.6245973627765494,0.7903147238768549,1.4615095057882268,1.4618776565394902,0.9491678435629239,4160.5419,1.0817,648
VMD_Optuna_TCN,cross,Hog,0.8330903701759792,1.0348359290790563,1.017268857814421,1.258769929643346,1.2532341033807035,0.9631831451731863,4160.5419,6.7855,4008
