Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points,Seed
GRU,test,Wolf,10.294484447497947,228.18785006562962,15.105887927084247,4.800625611519894,4.677217578109021,0.9674590311517156,156.7714,0.0382,3264,42
GRU,holdout,Wolf,12.082818771644876,313.65559102853587,17.710324419065167,6.105493267351482,5.895231950721102,0.947652740612385,156.7714,0.0086,648,42
GRU,test,Bull,1.2478694904863443,3.4957581865339105,1.869694677356148,6.436495188186118,6.12665183040198,0.4380172467077099,156.7714,0.0362,3264,42
GRU,holdout,Bull,1.4707748017857076,3.9460680682242137,1.9864712603569712,7.465492912124589,7.103777432768582,0.6738269512225191,156.7714,0.0083,648,42
GRU,test,Robin,7.642969325004795,108.00048288019713,10.39232807797161,5.744397293516955,5.63926261535068,0.9397416143838011,156.7714,0.0368,3264,42
GRU,holdout,Robin,6.180878138735477,93.22484769358549,9.65530153302244,5.002742726795488,4.803789431420028,0.9319506663013407,156.7714,0.0073,648,42
GRU,test,Fox,4.240506053157881,34.27354589989142,5.854361271726525,4.925825423317116,4.845217779307802,0.8629047798460323,156.7714,0.0353,3264,42
GRU,holdout,Fox,3.233218217308138,24.728619148904333,4.972787864860549,4.858740306343424,4.557394342436448,0.7928844654147961,156.7714,0.0074,648,42
GRU,test,Rat,5.618450103869625,64.64974652148092,8.04050660850925,16.43592995822575,14.845421420927366,0.8442998156656389,156.7714,0.0363,3264,42
GRU,holdout,Rat,3.345297401098558,20.73821298310544,4.553922812598545,13.133619052038679,12.023858311021938,0.8044356260553104,156.7714,0.0074,648,42
GRU,test,Eagle,3.2436490654777077,16.74470320199175,4.092029227900474,9.59137806826506,9.370401644673086,0.6040606641222469,156.7714,0.0365,3264,42
GRU,holdout,Eagle,1.4399109204829152,6.360654048699184,2.5220337128395376,4.2525635113377,4.170843386627755,0.6088081218269061,156.7714,0.008,648,42
GRU,cross,Hog,1.6890538742994357,5.254212147905003,2.2922068292161164,2.517789990047158,2.5135296398412943,0.8459011817579034,156.7714,0.0455,4008,42
LSTM,test,Wolf,13.50142906553605,403.44182371991366,20.085861288974233,6.232424269843113,5.99593704023291,0.9424667535366634,168.1462,0.0483,3264,42
LSTM,holdout,Wolf,14.43739924112956,461.9136396029033,21.492176241667647,7.175383296834993,6.851613633280183,0.9229093508976518,168.1462,0.0095,648,42
LSTM,test,Bull,1.4051011105236806,4.016464629457766,2.004111930371596,6.692187876484228,6.910785911449352,0.35430778374238747,168.1462,0.0467,3264,42
LSTM,holdout,Bull,1.4049495656679052,3.9847976449830886,1.9961957932485201,6.522820279255812,6.752831496894532,0.6706256521291184,168.1462,0.0096,648,42
LSTM,test,Robin,9.07529830254974,146.35974085261543,12.097922997465947,6.582219029893867,6.4383585668250305,0.9183392382350083,168.1462,0.0467,3264,42
LSTM,holdout,Robin,8.093170266472745,157.07123733714926,12.532806442977936,6.573535853919636,6.26550895646084,0.8853460927160901,168.1462,0.0095,648,42
LSTM,test,Fox,4.220844356218974,33.05865686412435,5.749665804559805,4.9488765026048345,4.845365752973411,0.8677643727316828,168.1462,0.0469,3264,42
LSTM,holdout,Fox,3.5033909983693814,26.809408431088066,5.177780260989072,5.243940080334158,4.912943506110417,0.7754567319071715,168.1462,0.0094,648,42
LSTM,test,Rat,6.519910188480919,79.77792834903713,8.931849100216434,17.621437534912378,17.906392350263957,0.8078656326110838,168.1462,0.0462,3264,42
LSTM,holdout,Rat,3.6557806153356296,23.55029025344,4.852864128887187,13.774246851323543,13.913933567674325,0.7779173271399176,168.1462,0.0096,648,42
LSTM,test,Eagle,3.262787687129601,17.749789690040938,4.213049927314052,9.199758986448376,9.39326761515547,0.5802947441308695,168.1462,0.0471,3264,42
LSTM,holdout,Eagle,1.5751679063575281,6.760464707679671,2.600089365325675,4.546887979615017,4.619956884430927,0.5842190337547157,168.1462,0.0096,648,42
LSTM,cross,Hog,1.9629145313118272,6.898910535394414,2.6265777230827214,2.931594381663527,2.936221199646906,0.7976644393610712,168.1462,0.0587,4008,42
Transformer,test,Wolf,13.255731610129862,339.53191638787985,18.42639184397965,5.998723707908344,5.774702620117171,0.9515806932270997,295.5514,0.0541,3264,42
Transformer,holdout,Wolf,12.612935756636254,302.3744111001087,17.388916329090456,5.987112999709959,5.932701508200567,0.9495355026890158,295.5514,0.011,648,42
Transformer,test,Bull,1.0883147205096555,3.0106744097551217,1.7351295080642026,5.586095737990412,5.322145139153281,0.5159999623033391,295.5514,0.0538,3264,42
Transformer,holdout,Bull,1.2818917056545165,3.3846577489136083,1.8397439356914886,6.487817340587933,6.186077384975576,0.7202318566369066,295.5514,0.011,648,42
Transformer,test,Robin,8.145045857120696,111.10792541075976,10.540774421775648,6.227788889080246,6.00832038698414,0.9380078307441989,295.5514,0.0539,3264,42
Transformer,holdout,Robin,8.290045241005977,126.77010446467736,11.259223084417386,6.808312318913233,6.354484073736177,0.9074643578921685,295.5514,0.011,648,42
Transformer,test,Fox,4.659655176938749,36.75499543034811,6.062589828641561,5.622284056431711,5.40185221759307,0.8529789066763117,295.5514,0.0538,3264,42
Transformer,holdout,Fox,4.239137364140263,32.601419146265776,5.709765244409421,6.470594466392396,5.967708817849172,0.726945515475161,295.5514,0.0108,648,42
Transformer,test,Rat,5.115901410918609,56.11918688049946,7.491274049218829,14.583316110387356,13.128506242753799,0.864844516612529,295.5514,0.054,3264,42
Transformer,holdout,Rat,2.9449925532753087,18.599688293536772,4.312735592815397,11.112601667119902,10.097400648475578,0.8246022258689715,295.5514,0.0108,648,42
Transformer,test,Eagle,3.4476545190923353,18.49003738883823,4.300004347537131,10.444777577068514,9.921602938941477,0.562791108580496,295.5514,0.0546,3264,42
Transformer,holdout,Eagle,2.13437339149721,8.129214052099686,2.8511776605640846,6.544786454058615,6.290533836026743,0.5000384412099349,295.5514,0.0108,648,42
Transformer,cross,Hog,2.8498022941848236,10.544482727789116,3.2472269289024314,4.394769912647798,4.277919578515937,0.6907448192828699,295.5514,0.0659,4008,42
