Seed,Model,Trainable_Params,Training_Time_sec,Learning_Rate,Epochs,Device
42,GRU,152472,156.7714,0.0001,25,cuda
42,LSTM,202264,168.1462,0.0001,25,cuda
42,Transformer,253720,295.5514,0.0001,25,cuda
42,TCN,133816,96.4582,0.0001,25,cuda
42,VMD_TCN,133816,562.8811,0.0001,25,cuda
42,VMD_Optuna_TCN,133816,621.2309,0.0006354733199410709,25,cuda
