Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Learning_Rate,Seed,Best_Optuna_LR
TCN,23,0.03183188529849817,0.030545484108843206,0.02965788780793042,0,0.0001,42,
TCN,24,0.0313982517463618,0.030831182492859568,0.02965788780793042,0,0.0001,42,
TCN,25,0.031228422315469573,0.031398468996646875,0.02965788780793042,0,0.0001,42,
VMD_TCN,1,0.6042996321430714,0.4625152426410846,0.4625152426410846,1,,42,0.0001
VMD_TCN,2,0.5381491897583481,0.41962687209604743,0.41962687209604743,1,,42,0.0001
VMD_TCN,3,0.505312989335975,0.3988873728317875,0.3988873728317875,1,,42,0.0001
VMD_TCN,4,0.4881719810308059,0.38867986929885445,0.38867986929885445,1,,42,0.0001
VMD_TCN,5,0.4773255224647782,0.3786210062589164,0.3786210062589164,1,,42,0.0001
VMD_TCN,6,0.469813723447915,0.3738917848177126,0.3738917848177126,1,,42,0.0001
VMD_TCN,7,0.4637119481706265,0.3696268093069235,0.3696268093069235,1,,42,0.0001
VMD_TCN,8,0.45880591318340097,0.36633113840956394,0.36633113840956394,1,,42,0.0001
VMD_TCN,9,0.4549273369277608,0.3633523738194855,0.3633523738194855,1,,42,0.0001
VMD_TCN,10,0.45164078086241427,0.3613935644787672,0.3613935644787672,1,,42,0.0001
VMD_TCN,11,0.4486114338507969,0.3591103114500588,0.3591103114500588,1,,42,0.0001
VMD_TCN,12,0.4463707730248019,0.3574495717520546,0.3574495717520546,1,,42,0.0001
VMD_TCN,13,0.4438766889331577,0.3565224426885718,0.3565224426885718,1,,42,0.0001
VMD_TCN,14,0.44189887698587593,0.3546468151069904,0.3546468151069904,1,,42,0.0001
VMD_TCN,15,0.4398195214004674,0.3541527846032013,0.3541527846032013,1,,42,0.0001
VMD_TCN,16,0.4383794063504683,0.3521987925969779,0.3521987925969779,1,,42,0.0001
VMD_TCN,17,0.4367986052216915,0.35197857880353184,0.35197857880353184,1,,42,0.0001
VMD_TCN,18,0.4358727056961178,0.3516736519472609,0.3516736519472609,1,,42,0.0001
VMD_TCN,19,0.43406209758427194,0.35074730317370584,0.35074730317370584,1,,42,0.0001
VMD_TCN,20,0.4330184482498243,0.34954994614739615,0.34954994614739615,1,,42,0.0001
VMD_TCN,21,0.43179965141534604,0.34872527209780557,0.34872527209780557,1,,42,0.0001
