Building,Metric,GRU,LSTM,Transformer,VMD_TCN
Wolf,MAE,10.294484447497949,13.50142906553605,13.559832496269076,12.049034751125358
Wolf,RMSE,15.105887927084249,20.085861288974236,18.779216875623074,15.73386406739496
Wolf,MAPE,4.800625611519894,6.232424269843113,6.143686264784019,5.40366951704209
Wolf,SMAPE,4.677217578109021,5.99593704023291,5.898357115982429,5.28966506134562
Wolf,R2,0.9674590311517156,0.9424667535366634,0.9497086935644616,0.9646972326943763
Bull,MAE,1.2478694904863443,1.4051011105236806,1.1771159077915552,0.4589787777196132
Bull,RMSE,1.869694677356148,2.004111930371596,1.804686177227198,0.8310583446516367
Bull,MAPE,6.436495188186118,6.692187876484228,6.07159957927582,2.2742435821499387
Bull,SMAPE,6.12665183040198,6.910785911449352,5.764505768720409,2.257301948833808
Bull,R2,0.4380172467077099,0.3543077837423874,0.4764176618928265,0.8889689022816633
Robin,MAE,7.642969325004795,9.07529830254974,8.273128051735107,4.406878589790365
Robin,RMSE,10.39232807797161,12.097922997465949,10.68598374999189,5.868175382938619
Robin,MAPE,5.744397293516955,6.582219029893867,6.328469271583524,3.490090990727585
Robin,SMAPE,5.63926261535068,6.438358566825031,6.094867650641282,3.445463194815757
Robin,R2,0.9397416143838012,0.9183392382350084,0.9362880622699262,0.9807868768964948
Fox,MAE,4.240506053157881,4.220844356218974,4.632918871945026,2.1778788786353136
Fox,RMSE,5.854361271726525,5.749665804559805,6.0422564818824975,2.9044649491585526
Fox,MAPE,4.925825423317116,4.9488765026048345,5.579868299296287,2.5774929870133865
Fox,SMAPE,4.845217779307802,4.845365752973411,5.363133931912312,2.5592235888731927
Fox,R2,0.8629047798460323,0.8677643727316828,0.8539634422702116,0.966256078304198
Rat,MAE,5.618450103869625,6.519910188480919,5.01416760561513,3.527695488898244
Rat,RMSE,8.04050660850925,8.931849100216434,7.382205398597637,4.82959587236985
Rat,MAPE,16.43592995822575,17.621437534912378,14.182717017974683,9.871158172293272
Rat,SMAPE,14.845421420927366,17.906392350263957,12.932419133635223,9.720084559791362
Rat,R2,0.8442998156656389,0.8078656326110838,0.8687514393080673,0.94382489619184
Eagle,MAE,3.243649065477708,3.262787687129601,3.319104938335045,1.6397686852722944
Eagle,RMSE,4.092029227900474,4.213049927314052,4.158802009608951,2.088354216817345
Eagle,MAPE,9.59137806826506,9.199758986448376,9.982589792796254,4.751408448092823
Eagle,SMAPE,9.370401644673086,9.39326761515547,9.575186062162071,4.76080101523845
Eagle,R2,0.6040606641222469,0.5802947441308695,0.5910335454526787,0.8968760538778024
