,VMD_Optuna_TCN,GRU,LSTM,Transformer
VMD_Optuna_TCN,1.0,0.007761446603881561,0.00023988486975690115,3.070203975674701e-05
GRU,0.007761446603881561,1.0,0.798742122483074,0.5200311808872135
LSTM,0.00023988486975690115,0.798742122483074,1.0,0.9685302024372163
Transformer,3.070203975674701e-05,0.5200311808872135,0.9685302024372163,1.0
