Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_TCN,1.0769230769230769,MAE,13,4
GRU,2.3846153846153846,MAE,13,4
Transformer,3.230769230769231,MAE,13,4
LSTM,3.3076923076923075,MAE,13,4
