,VMD_TCN,GRU,Transformer,LSTM
VMD_TCN,1.0,0.07142761122807983,0.00023988486975690115,1.4776656504178476e-05
GRU,0.07142761122807983,1.0,0.33908975472229475,0.10299639647978143
Transformer,0.00023988486975690115,0.33908975472229475,1.0,0.9296906000179023
LSTM,1.4776656504178476e-05,0.10299639647978143,0.9296906000179023,1.0
