Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_TCN,1.0769230769230769,MAPE,13,4
GRU,2.4615384615384617,MAPE,13,4
Transformer,3.1538461538461537,MAPE,13,4
LSTM,3.3076923076923075,MAPE,13,4
