,VMD_TCN,GRU,Transformer,LSTM
VMD_TCN,1.0,0.04824083726837092,0.0015194490332911537,3.1964258984107374e-06
GRU,0.04824083726837092,1.0,0.711869389863423,0.07142761122807983
Transformer,0.0015194490332911537,0.711869389863423,1.0,0.5200311808872128
LSTM,3.1964258984107374e-06,0.07142761122807983,0.5200311808872128,1.0
