Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_TCN,1.0769230769230769,SMAPE,13,4
GRU,2.3076923076923075,SMAPE,13,4
Transformer,3.1538461538461537,SMAPE,13,4
LSTM,3.4615384615384617,SMAPE,13,4
