,VMD_TCN,GRU,Transformer,LSTM
VMD_TCN,1.0,0.031742212883790866,0.00023988486975690115,6.234485254164035e-05
GRU,0.031742212883790866,1.0,0.5200311808872135,0.3390897547222952
Transformer,0.00023988486975690115,0.5200311808872135,1.0,0.990268390928735
LSTM,6.234485254164035e-05,0.3390897547222952,0.990268390928735,1.0
