Model,Average_Rank,Metric,N_Blocks,N_Models
VMD_TCN,1.0769230769230769,RMSE,13,4
GRU,2.3846153846153846,RMSE,13,4
Transformer,2.923076923076923,RMSE,13,4
LSTM,3.6153846153846154,RMSE,13,4
