Model,Dataset,Building,Abs_Error
VMD_TCN,cross,Hog,0.22974271470308594
VMD_TCN,cross,Hog,0.1924036549925674
VMD_TCN,cross,Hog,1.8509065756797796
VMD_TCN,cross,Hog,1.16587649322301
VMD_TCN,cross,Hog,1.7160266855359083
VMD_TCN,cross,Hog,0.8602703711986521
VMD_TCN,cross,Hog,0.01719959837198104
VMD_TCN,cross,Hog,0.8311678061336281
VMD_TCN,cross,Hog,0.8411944890730112
VMD_TCN,cross,Hog,0.4946231653988349
VMD_TCN,cross,Hog,2.1436830124855106
VMD_TCN,cross,Hog,1.5676157863289149
VMD_TCN,cross,Hog,0.31091834396124085
VMD_TCN,cross,Hog,0.6260882504582383
VMD_TCN,cross,Hog,2.6336393439173733
VMD_TCN,cross,Hog,1.573728492081166
VMD_TCN,cross,Hog,1.3560050247460609
VMD_TCN,cross,Hog,1.3777120416164408
VMD_TCN,cross,Hog,1.4730182191282495
VMD_TCN,cross,Hog,1.9795505721569029
VMD_TCN,cross,Hog,0.5250465350747078
VMD_TCN,cross,Hog,0.8197613732814801
VMD_TCN,cross,Hog,0.8340347326099931
VMD_TCN,cross,Hog,0.6158326729536014
VMD_TCN,cross,Hog,1.8719862039685466
VMD_TCN,cross,Hog,1.9902894361019179
VMD_TCN,cross,Hog,0.978148367226126
VMD_TCN,cross,Hog,0.0007365660667488783
VMD_TCN,cross,Hog,1.1635101649761168
VMD_TCN,cross,Hog,0.6426128755211806
VMD_TCN,cross,Hog,0.7776853110790185
VMD_TCN,cross,Hog,0.4043663347959523
VMD_TCN,cross,Hog,0.2840428348407116
VMD_TCN,cross,Hog,0.24199349355697564
VMD_TCN,cross,Hog,1.0811487848013641
VMD_TCN,cross,Hog,0.44382250857353256
VMD_TCN,cross,Hog,0.045087577462197714
VMD_TCN,cross,Hog,0.005244625136256786
VMD_TCN,cross,Hog,0.7576240370273624
VMD_TCN,cross,Hog,0.1704033441841588
VMD_TCN,cross,Hog,0.07747549772262374
VMD_TCN,cross,Hog,0.014426570594316956
