,VMD_TCN,GRU,Transformer,LSTM
VMD_TCN,1.0,0.04824083726837092,0.00012371734879856877,6.234485254164035e-05
GRU,0.04824083726837092,1.0,0.33908975472229475,0.2624296116901855
Transformer,0.00012371734879856877,0.33908975472229475,1.0,0.9987517050430048
LSTM,6.234485254164035e-05,0.2624296116901855,0.9987517050430048,1.0
