Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points,Seed
TCN,test,Wolf,16.336215182940165,516.7413704410353,22.731946032863867,7.484557011897383,7.458909301833959,0.9263095522688642,94.9324,0.0323,3264,42
TCN,holdout,Wolf,20.61665511566916,838.4183239334318,28.955454131017042,10.57720007944541,9.705388704605394,0.8600729502880763,94.9324,0.0083,648,42
TCN,test,Bull,3.8617015492682363,18.593872607821844,4.312061294534418,20.14392975955686,17.840087610241646,-1.989175785316708,94.9324,0.0262,3264,42
TCN,holdout,Bull,4.701474731351122,26.061375060827174,5.105034285960005,24.502621277523918,21.326755059819707,-1.154174234188707,94.9324,0.0053,648,42
TCN,test,Robin,10.038717423134402,161.78226576890094,12.719365776991435,7.825825615576227,7.511169660301842,0.9097343095458296,94.9324,0.0263,3264,42
TCN,holdout,Robin,11.740621928288624,287.0824353642507,16.943507174261494,10.383261186753668,9.233154354593468,0.7904446193643943,94.9324,0.0054,648,42
TCN,test,Fox,6.60319240729014,66.27690005258495,8.141062587438137,8.30669725360376,7.806159344218839,0.7348903953395605,94.9324,0.0253,3264,42
TCN,holdout,Fox,6.992749472488592,69.55538129451541,8.33998688815009,10.741184731126289,9.738325830782248,0.4174361336819913,94.9324,0.0054,648,42
TCN,test,Rat,8.319872434513242,113.97520224547154,10.675916927621325,26.72054083094841,22.130843739226503,0.7255061163577863,94.9324,0.0246,3264,42
TCN,holdout,Rat,5.880144497906721,52.088467095937666,7.217234033612716,24.36349450083318,20.725532091638822,0.5087981560583714,94.9324,0.0054,648,42
TCN,test,Eagle,5.270918603801727,39.60619896640587,6.293345609960244,16.690743922527343,14.988655231584852,0.06348581242481555,94.9324,0.0259,3264,42
TCN,holdout,Eagle,6.671351596154107,48.830824693759055,6.987905601377215,20.927335748780358,18.805144070025527,-2.0031851879445144,94.9324,0.0053,648,42
TCN,cross,Hog,10.34996463588326,119.92592003001808,10.951069355547798,15.799205021393808,14.50799811940243,-2.5172623474274105,94.9324,0.0349,4008,42
